Weekday,Time,Total_RSVPs,Percent_RSVPs,Percent_of_Max_RSVPs
1,10:00:00,2863,0.036175482,0.314132104
1,10:30:00,3231,0.040825352,0.354509546
1,11:00:00,3293,0.041608754,0.361312267
1,11:30:00,3441,0.04347881,0.37755102
1,12:00:00,3300,0.041697202,0.362080316
1,12:30:00,3072,0.038816305,0.337063858
1,13:00:00,3964,0.050087185,0.434935264
1,13:30:00,4146,0.052386849,0.454904542
1,14:00:00,3349,0.042316343,0.36745666
1,14:30:00,2965,0.037464305,0.325323678
1,15:00:00,2407,0.030413687,0.264099188
1,15:30:00,1764,0.02228905,0.193548387
1,16:00:00,1410,0.017816077,0.154707044
1,16:30:00,1001,0.012648151,0.109831029
1,17:00:00,586,0.007404412,0.064296686
1,17:30:00,1228,0.015516414,0.134737766
1,18:00:00,1105,0.013962245,0.121242045
1,18:30:00,669,0.00845316,0.073403555
1,19:00:00,1294,0.016350358,0.141979372
1,19:30:00,1343,0.016969498,0.147355716
1,20:00:00,1259,0.015908115,0.138139127
1,20:30:00,976,0.012332264,0.107087996
1,21:00:00,543,0.006861085,0.05957867
1,21:30:00,396,0.005003664,0.043449638
2,10:00:00,1000,0.012635516,0.109721308
2,10:30:00,1029,0.013001946,0.112903226
2,11:00:00,1054,0.013317834,0.115646259
2,11:30:00,951,0.012016376,0.104344964
2,12:00:00,359,0.00453615,0.03938995
2,12:30:00,341,0.004308711,0.037414966
2,13:00:00,116,0.00146572,0.012727672
2,13:30:00,118,0.001490991,0.012947114
2,14:00:00,106,0.001339365,0.011630459
2,14:30:00,101,0.001276187,0.011081852
2,15:00:00,62,0.000783402,0.006802721
2,15:30:00,62,0.000783402,0.006802721
2,16:00:00,86,0.001086654,0.009436032
2,16:30:00,54,0.000682318,0.005924951
2,17:00:00,39,0.000492785,0.004279131
2,17:30:00,205,0.002590281,0.022492868
2,18:00:00,899,0.011359329,0.098639456
2,18:30:00,2213,0.027962397,0.242813254
2,19:00:00,4162,0.052589017,0.456660083
2,19:30:00,4313,0.05449698,0.473228001
2,20:00:00,4266,0.053903111,0.468071099
2,20:30:00,3413,0.043125016,0.374478824
2,21:00:00,1533,0.019370246,0.168202765
2,21:30:00,958,0.012104824,0.105113013
3,10:00:00,677,0.008554244,0.074281325
3,10:30:00,690,0.008718506,0.075707702
3,11:00:00,924,0.011675217,0.101382488
3,11:30:00,867,0.010954992,0.095128374
3,12:00:00,906,0.011447777,0.099407505
3,12:30:00,873,0.011030805,0.095786702
3,13:00:00,566,0.007151702,0.06210226
3,13:30:00,472,0.005963964,0.051788457
3,14:00:00,314,0.003967552,0.034452491
3,14:30:00,331,0.004182356,0.036317753
3,15:00:00,282,0.003563215,0.030941409
3,15:30:00,112,0.001415178,0.012288786
3,16:00:00,350,0.004422431,0.038402458
3,16:30:00,705,0.008908039,0.077353522
3,17:00:00,967,0.012218544,0.106100505
3,17:30:00,1008,0.0127366,0.110599078
3,18:00:00,2915,0.036832529,0.319837612
3,18:30:00,4429,0.0559627,0.485955673
3,19:00:00,7690,0.097167117,0.843756858
3,19:30:00,7900,0.099820576,0.866798332
3,20:00:00,5629,0.071125319,0.617621242
3,20:30:00,4335,0.054774961,0.47564187
3,21:00:00,1352,0.017083218,0.148343208
3,21:30:00,587,0.007417048,0.064406408
4,10:00:00,899,0.011359329,0.098639456
4,10:30:00,977,0.012344899,0.107197718
4,11:00:00,890,0.011245609,0.097651964
4,11:30:00,807,0.010196861,0.088545095
4,12:00:00,519,0.006557833,0.056945359
4,12:30:00,510,0.006444113,0.055957867
4,13:00:00,504,0.0063683,0.055299539
4,13:30:00,440,0.005559627,0.048277375
4,14:00:00,225,0.002842991,0.024687294
4,14:30:00,221,0.002792449,0.024248409
4,15:00:00,183,0.002312299,0.020078999
4,15:30:00,201,0.002539739,0.022053983
4,16:00:00,349,0.004409795,0.038292736
4,16:30:00,425,0.005370094,0.046631556
4,17:00:00,467,0.005900786,0.051239851
4,17:30:00,947,0.011965834,0.103906079
4,18:00:00,2216,0.028000303,0.243142418
4,18:30:00,5662,0.071542291,0.621242045
4,19:00:00,9114,0.115160092,1
4,19:30:00,8663,0.109461474,0.95051569
4,20:00:00,7926,0.100149099,0.869651086
4,20:30:00,4851,0.061294888,0.532258065
4,21:00:00,1728,0.021834171,0.18959842
4,21:30:00,692,0.008743777,0.075927145
5,10:00:00,1318,0.01665361,0.144612684
5,10:30:00,1324,0.016729423,0.145271012
5,11:00:00,1176,0.014859367,0.129032258
5,11:30:00,868,0.010967628,0.095238095
5,12:00:00,792,0.010007329,0.086899276
5,12:30:00,563,0.007113795,0.061773096
5,13:00:00,927,0.011713123,0.101711652
5,13:30:00,795,0.010045235,0.08722844
5,14:00:00,803,0.010146319,0.08810621
5,14:30:00,623,0.007871926,0.068356375
5,15:00:00,441,0.005572263,0.048387097
5,15:30:00,519,0.006557833,0.056945359
5,16:00:00,725,0.009160749,0.079547948
5,16:30:00,582,0.00735387,0.063857801
5,17:00:00,726,0.009173385,0.07965767
5,17:30:00,1023,0.012926133,0.112244898
5,18:00:00,2507,0.031677238,0.275071319
5,18:30:00,4063,0.051338101,0.445797674
5,19:00:00,7241,0.091493771,0.79449199
5,19:30:00,7332,0.092643603,0.804476629
5,20:00:00,5877,0.074258927,0.644832126
5,20:30:00,4472,0.056506027,0.490673689
5,21:00:00,1711,0.021619368,0.187733158
5,21:30:00,892,0.01127088,0.097871407
6,10:00:00,682,0.008617422,0.074829932
6,10:30:00,693,0.008756413,0.076036866
6,11:00:00,590,0.007454954,0.064735572
6,11:30:00,591,0.00746759,0.064845293
6,12:00:00,678,0.00856688,0.074391047
6,12:30:00,672,0.008491067,0.073732719
6,13:00:00,714,0.009021758,0.078341014
6,13:30:00,713,0.009009123,0.078231293
6,14:00:00,664,0.008389983,0.072854948
6,14:30:00,452,0.005711253,0.049594031
6,15:00:00,256,0.003234692,0.028088655
6,15:30:00,188,0.002375477,0.020627606
6,16:00:00,214,0.002704,0.02348036
6,16:30:00,118,0.001490991,0.012947114
6,17:00:00,1371,0.017323292,0.150427913
6,17:30:00,1413,0.017853984,0.155036208
6,18:00:00,1746,0.022061611,0.191573404
6,18:30:00,2126,0.026863107,0.233267501
6,19:00:00,1839,0.023236714,0.201777485
6,19:30:00,2030,0.025650097,0.222734255
6,20:00:00,2452,0.030982285,0.269036647
6,20:30:00,2216,0.028000303,0.243142418
6,21:00:00,1713,0.021644639,0.1879526
6,21:30:00,1286,0.016249273,0.141101602
7,10:00:00,3447,0.043554623,0.378209348
7,10:30:00,3884,0.049076344,0.42615756
7,11:00:00,3292,0.041596118,0.361202546
7,11:30:00,3042,0.038437239,0.333772219
7,12:00:00,2364,0.02987036,0.259381172
7,12:30:00,1932,0.024411817,0.211981567
7,13:00:00,2517,0.031803594,0.276168532
7,13:30:00,2424,0.030628491,0.26596445
7,14:00:00,3078,0.038892118,0.337722186
7,14:30:00,3027,0.038247707,0.332126399
7,15:00:00,2527,0.031929949,0.277265745
7,15:30:00,2299,0.029049051,0.252249287
7,16:00:00,2523,0.031879407,0.27682686
7,16:30:00,2315,0.029251219,0.254004828
7,17:00:00,1917,0.024222284,0.210335747
7,17:30:00,1959,0.024752976,0.214944042
7,18:00:00,780,0.009855702,0.08558262
7,18:30:00,928,0.011725759,0.101821374
7,19:00:00,1608,0.02031791,0.176431863
7,19:30:00,2486,0.031411893,0.272767171
7,20:00:00,2672,0.033762099,0.293175335
7,20:30:00,2599,0.032839706,0.285165679
7,21:00:00,2246,0.028379369,0.246434057
7,21:30:00,1917,0.024222284,0.210335747